transcript,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
becoming-net-fiduciaries-with-the-glianet-alliance-whitt-govea.transcription,0.0,0.16256521650322825,0.0,0.05551305962287935,0.0,0.0,0.0011503496930461653,0.0331760520773776,0.026408665021651175,0.10888363000909769,0.00361308488818555,0.09433518882177702
bloom-metagov.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4219736829775904,0.0,0.2411671039375338
book-talk-on-relationality.transcription,0.11186578869354899,0.0041643587980474284,0.0,0.012467269365276474,0.0,0.0,0.0,0.03355849556116494,0.1239026051584194,0.0,0.0008714735501816256,0.0
braman-change-of-state.transcription,0.018552630231276828,0.03136944861598735,0.002736185363811542,0.02963661840744754,0.0,0.028440274610509755,0.0,0.18898185167475537,0.008783483341724978,0.035845989521294364,0.015479349441163203,0.034623043086035504
bulent-fang-metagov.transcription,0.012926025879980093,0.12459885619285947,0.0,0.022427877631279514,0.0,0.08574915225252445,0.0,0.06401728572107472,0.02210215998745635,0.17802240470920136,0.015770281031557077,0.0
burnett-metagov-20240920.transcription,0.022048608387528267,0.010654762918581173,0.0,0.0,0.006376132339802245,0.0061231085448860975,0.0,0.0,0.3537059491482651,0.02110778568503062,0.0,0.0
canon-metagov-20230906.transcription,0.022320407925721757,0.00440910060746655,0.17371715457423442,0.0,0.0004022586264886473,0.0551966541375772,0.0,0.016993442402199035,0.14460893911594694,0.0,0.06478091965804489,0.07979737339694577
case-metagov-20230412.transcription,0.0848959133595885,0.04214038380267812,0.0,0.02725596246478051,0.0051913000248832615,0.003248647509453168,0.01714270461004659,0.010778896701477686,0.04438878281370231,0.014688494864725982,0.013579388780750759,0.10002751160312429
champion-metagov.transcription,0.055712271511343225,0.0,0.014091780723807453,0.01190769803646021,0.01151841074452171,0.018871796031955282,0.010279735431316574,0.0,0.05122334784954615,0.1741320415124094,0.0,0.008549404827267511
chan-metagov-20231115.transcription,0.09092324506874629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260286922088296,0.0,0.0
chancellor-metagov.transcription,0.0,0.0,0.0,0.0,0.5434348887603843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
choral-data-trust-experiment-by-serpentine-galleries-introna.transcription,0.0,0.1350300966100316,0.0,0.011854488113184092,0.0,0.0,0.002058840132805547,0.0014090295385797902,0.006457150620217537,0.34395542621836944,0.013920129873679566,0.0
chore-wheel-onboarding-community-and-use-cases-kronovet.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.5752189442954287,0.0,0.0,0.0,0.0,0.0
chow-metagov-20240314.transcription,0.10326713742743474,0.002979436978113037,0.021421998731166406,0.03231181979378985,0.0130520793689706,0.0031674915394357553,0.044857564568011335,0.007310099354938003,0.11287750561193713,0.02111201555864005,0.0,0.03270647331302724
civic-ai-stempeck.transcription,0.0026703403449540304,0.3308762733458261,0.0,0.0008619983125863396,0.0,0.09240141626625893,4.3584843008233134e-05,0.0,0.0,0.07281394070178031,0.0,0.01742799753548256
cohado-designing-community-organization-strategies-gregory.transcription,0.17272770210558192,0.010165796690498347,0.0,0.03198053935956492,0.0,0.0,0.0,0.0,0.08436724001149752,0.0,0.026616756419731775,0.010934024167911725
collective-psi-metagov.transcription,0.21223760664172683,0.0,0.0,0.004629111571897441,0.0,0.042728739565065975,0.0,0.0,0.0,0.0,0.012137811559172188,0.0
cossar-et-al-metagov-20230315.transcription,0.004753945826251806,0.0,0.14408204925044213,0.07487256136020186,0.0,0.14057419881010866,0.0,0.05851966093874821,0.0,0.0,0.004449690213529632,0.0
cox-metagov.transcription,0.004915442970319257,0.027237676701781007,0.01223777381599871,0.023084025407011533,0.006473575675446212,0.0,0.0,0.07101508089529361,0.004943385530648285,0.0013440568403193741,0.007574079902838968,0.46207457621268194
cronkright-metagov.transcription,0.0,0.0,0.0,0.0,0.014444961152573288,0.34704297691010844,0.0,0.021488970756554964,0.004138903527012552,0.0,0.0,0.015419349162591488
d20-metagov-20231129.transcription,0.19768198642511128,0.019997632684208927,0.0,0.0,0.058925746860235245,0.0,0.0,0.0,0.0,0.0,0.018644599736660782,0.0
daolabor-metagov-20230816.transcription,0.0,0.0,0.2999216138241376,0.0,0.036680741885886124,0.0,0.0,0.005955021006175714,0.06666751250810894,0.00760343815345607,0.0,0.0062074879940702396
daston-rules-metagov.transcription,0.04939980650420178,0.0,0.0,0.0,0.0,0.0,0.00033999067689502026,0.3196201445500772,0.0,0.0,0.0,0.007916726582456471
data-leverage-metagov.transcription,0.0,0.04128217279320249,0.0,0.0,0.061025938284981956,0.0,0.0,0.0,0.0,0.4803984417714439,0.0,0.0
davis-metagov.transcription,0.038704219684111196,0.0010082164710543972,0.0,0.046352802005632576,0.0,0.027164220835382523,0.0,0.017939079121620002,0.09081833759316377,0.015633076675822147,0.0,0.08402512834389311
debate-state-level-ranked-choice-voting-in-the-us-drutman-richie.transcription,0.0,0.0,0.0,0.0,0.0,0.29359729518228794,0.0,0.0,0.0,0.0,0.0,0.0
democracy-levels-framework-thorburn.transcription,0.0,0.19690408097258025,0.0,0.0,0.0,0.30387852319363234,0.0,0.0,0.0,0.0,0.03375056769455429,0.0
designjustice-metagov.transcription,0.04655718019698335,0.0006465930731640941,0.0,0.0,0.0939119927429202,0.0,0.0,0.0,0.1309107332801644,0.0,0.02397314721453169,0.026563492837851296
disco-metagov.transcription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4965403107290331,0.0,0.0,0.0
drake-metagov-20240117.transcription,0.16861122175975055,0.0,0.00605697378124992,0.0,0.06025744951566828,0.0,0.0016049273309347038,0.0,0.0,0.0,0.0,0.06684511274881183
economicgrammar-metagov.transcription,0.0043392671139249155,0.004923411114092221,0.0,0.08754805721522528,0.0,0.0,0.0,0.13313040583857935,0.24000641322962002,0.0,0.0,0.018575454860515823
ecsa-2-metagov.transcription,0.011230501260111636,0.0,0.015642453273784447,0.0816569618591712,0.0,0.0,0.0,0.05132297394919955,0.331658707361048,0.0,0.0457605149641375,0.0007732749427032952
effective-voice-frey-schneider.transcription,0.04928780201049908,0.0,0.0,0.0,0.01195241201393929,0.06232029113987968,0.004566237672671486,0.1640564848624561,0.0,0.0,0.00047871580360186994,0.01465440429998001
ehmke-metagov-20221130.transcription,0.013457826303477164,0.01186883049305397,0.014050688702893777,0.018885035828032217,0.05788588123203778,0.0016630473758018714,0.0,0.12621768598335686,0.059675689817409984,0.027899846789703416,0.03294645772561865,0.05699220289543207
ethelo-metagov.transcription,0.042825398891719484,0.0,0.0,0.0,0.020914127086726034,0.30981570975879646,0.008858436276127268,0.004733139133652622,0.0,0.056859124806758296,0.013733041377745147,0.046456184990900894
ethereum-world-metagov.transcription,0.01787013099984045,0.0,0.07827013403263833,0.17213998462284116,0.05132759254057597,0.0,0.0,0.09313853600857905,0.010562604892806986,0.020984379692845688,0.008434438616337157,0.027579534062221328
experimental-governance-sandboxes-and-llm-agent-based-simulations-kera.transcription,0.061723158779311775,0.3003572767452262,0.02683650809682589,0.0,0.0,0.005147456855904984,0.0,0.0704188961090565,0.0019153307472137974,0.0,0.0,0.0
